"ident","type","name","elevation_ft","continent","iso_country","iso_region","municipality","gps_code","iata_code","local_code","long","lat"
"5A8","medium_airport","Aleknagik / New Airport",66,,"US","US-AK","Aleknagik","5A8","WKK","5A8","-158.617996216","59.2826004028"
"AF-0005","medium_airport","Khost International Airport (U.C.)",4204,"AS","AF","AF-KHO","Khost","","","","69.80734","33.284605"
"AGGH","medium_airport","Honiara International Airport",28,"OC","SB","SB-CT","Honiara","AGGH","HIR","","160.05499267578","-9.4280004501343"
"AGGM","medium_airport","Munda Airport",10,"OC","SB","SB-WE","","AGGM","MUA","","157.26300048828125","-8.327969551086426"
"AHJ","medium_airport","Hongyuan Airport",11600,"AS","CN","CN-51","Aba","ZUHY","AHJ","","102.35224","32.53154"
"ANYN","medium_airport","Nauru International Airport",22,"OC","NR","NR-14","Yaren District","ANYN","INU","","166.919006","-0.547458"
"AXF","medium_airport","Alxa Left Banner Bayanhot Airport",4560,"AS","CN","CN-15","Bayanhot","ZBAL","AXF","","105.58858","38.74831"
"AYBK","medium_airport","Buka Airport",11,"OC","PG","PG-NSB","Buka Island","AYBK","BUA","","154.67300415039062","-5.4223198890686035"
"AYCH","medium_airport","Chimbu Airport",4974,"OC","PG","PG-CPK","Kundiawa","AYCH","CMU","","144.9709930419922","-6.024290084838867"
"AYDU","medium_airport","Daru Airport",20,"OC","PG","PG-WPD","Daru","AYDU","DAU","","143.207992554","-9.08675956726"
"AYGA","medium_airport","Goroka Airport",5282,"OC","PG","PG-EHG","Goronka","AYGA","GKA","","145.391998291","-6.081689834590001"
"AYGN","medium_airport","Gurney Airport",88,"OC","PG","PG-MBA","Gurney","AYGN","GUR","","150.333999634","-10.3114995956"
"AYGR","medium_airport","Girua Airport",311,"OC","PG","PG-NPP","Popondetta","AYGR","PNP","","148.309005737","-8.80453968048"
"AYHK","medium_airport","Kimbe Airport",66,"OC","PG","PG-WBK","Hoskins","AYHK","HKN","","150.40499877929688","-5.462170124053955"
"AYKM","medium_airport","Kerema Airport",10,"OC","PG","PG-GPK","Kerema","AYKM","KMA","","145.770996094","-7.96361017227"
"AYKV","medium_airport","Kavieng Airport",7,"OC","PG","PG-NIK","Kavieng","AYKV","KVG","","150.807998657","-2.57940006256"
"AYMD","medium_airport","Madang Airport",20,"OC","PG","PG-MPM","Madang","AYMD","MAG","","145.789001465","-5.20707988739"
"AYMH","medium_airport","Mount Hagen Kagamuga Airport",5388,"OC","PG","PG-WHM","Mount Hagen","AYMH","HGU","","144.29600524902344","-5.826789855957031"
"AYMN","medium_airport","Mendi Airport",5680,"OC","PG","PG-SHM","Mendi","AYMN","MDU","","143.656998","-6.14774"
"AYMO","medium_airport","Momote Airport",12,"OC","PG","PG-MRL","Manus Island","AYMO","MAS","","147.423996","-2.06189"
